"LastName"	"FirstName"	"DatasetID"	"Dataset"	"SpeciesName"	"AccSpeciesID"	"AccSpeciesName"	"ObservationID"	"ObsDataID"	"TraitID"	"TraitName"	"DataName"	"OriglName"	"OrigUnitStr"	"ValueKindName"	"OrigUncertaintyStr"	"UncertaintyName"	"Replicates"	"StdValue"	"UnitName"	"RelUncertaintyPercent"	"OrigObsDataID"	"ErrorRisk"	"Reference"	"Comment"	"max_height"	"42"	"45"	"47"	"59"	"60"	"61"	"62"	"68"	"80"	"92"	"112"	"113"	"117"	"118"	"119"	"120"	"121"	"122"	"123"	"124"	"125"	"126"	"127"	"128"	"129"	"130"	"131"	"132"	"133"	"134"	"135"	"136"	"137"	"138"	"139"	"140"	"153"	"154"	"155"	"156"	"157"	"158"	"159"	"160"	"161"	"162"	"163"	"164"	"193"	"216"	"226"	"232"	"235"	"283"	"325"	"327"	"413"	"448"	"505"	"506"	"507"	"515"	"703"	"706"	"708"	"709"	"713"	"719"	"882"	"911"	"1412"	"1736"	"1861"	"P50"	"2100"	"2200"	"k_sat"	"2358"	"2525"	"2537"	"2538"	"2539"	"2540"	"2541"	"2542"	"2543"	"Huber"	"2545"	"2546"	"2547"	"2548"	"2549"	"2550"	"2551"	"2552"	"2553"	"2554"	"2555"	"2556"	"2557"	"2558"	"2559"	"2560"	"2561"	"2562"	"2563"	"2564"	"2565"	"2566"	"2567"	"2568"	"2570"	"2571"	"2572"	"2573"	"2574"	"2575"	"2576"	"2577"	"2578"	"2579"	"2580"	"2581"	"2582"	"2583"	"2584"	"2585"	"2586"	"2587"	"2588"	"2589"	"2590"	"2591"	"2592"	"2593"	"2594"	"2656"	"6584"
"1"	"Jansen"	"Steven"	241	"Xylem Functional Traits (XFT) Database"	"Acer campestre"	797	"Acer campestre"	1726994	12509026	42	"Plant growth form"	"Plant organ measured"	"Plant organ"	"Mpa"	"Single"	NA	NA	NA	45.3333333333333	"m"	NA	NA	2.3748	"Brendan Choat, Steven Jansen, Tim J. Brodribb, Herve Cochard, Sylvain Delzon, Radika Bhaskar, Sandra J. Bucci, Taylor S. Feild, Sean M. Gleason, Uwe G. Hacke, Anna L. Jacobsen, Frederic Lens, Hafiz Maherali, Jordi Martinez-Vilalta, Stefan Mayr, Maurizio Mencuccini, Patrick J. Mitchell, Andrea Nardini, Jarmila Pittermann, R. Brandon Pratt, John S. Sperry, Mark Westoby, Ian J. Wright & Amy E. Zanne (2012) Global convergence in the vulnerability of forests to drought. Nature 491:752-755 doi:10.1038/nature11688"	"S = stem, T = trunk, R = root, P = petiole"	NA	"W"	NA	"T"	45.3333333333333	5.5	200	11.745	NA	937	928	"FR_Grenoble"	"Tissier et al. 2004"	2.32	3.92	8.32	11.42	15.22	18.52	20.92	20.32	17.42	12.22	7.22	3.12	68	72	81	73	90	83	60	77	86	86	84	77	30.9	36.2	43.8	47.4	48.3	54.8	63.7	61.1	56.2	43.3	33	29.4	"TMS"	NA	NA	NA	NA	NA	72.3583333333333	"N"	"A"	10	NA	NA	NA	NA	"diffuse-porous"	"sol + RM"	"simple"	5.87	NA	"fibres"	1	NA	"France"	"Grenoble"	"S"	2	-2.6	NA	0.43	NA	"Grenoble"	-1.5	63.3333333333333	"S"	NA	"PC-PLCs"	NA	NA	NA	NA	NA	3.7	11	NA	NA	1.447	0.2574	1.78	0.303236797274276	NA	NA	NA	NA	"non-vestured"	0.216216	0.552388	"no"	NA	NA	NA	4.7	NA	NA	45.675	76	80.7	77.2	71	67.4	69.8	67.5	63.3	66.6	71	75.9	78.4	16.4	12.8	10	4.6	2.1	1.1	0.7	0.7	1.2	2.9	8.3	15.2	79.5	NA
"2"	"Jansen"	"Steven"	241	"Xylem Functional Traits (XFT) Database"	"Acer glabrum"	818	"Acer glabrum"	1726995	12509131	42	"Plant growth form"	"Plant organ measured"	"Plant organ"	"Mpa"	"Single"	NA	NA	NA	40.7	"m"	NA	NA	0.647832	"Brendan Choat, Steven Jansen, Tim J. Brodribb, Herve Cochard, Sylvain Delzon, Radika Bhaskar, Sandra J. Bucci, Taylor S. Feild, Sean M. Gleason, Uwe G. Hacke, Anna L. Jacobsen, Frederic Lens, Hafiz Maherali, Jordi Martinez-Vilalta, Stefan Mayr, Maurizio Mencuccini, Patrick J. Mitchell, Andrea Nardini, Jarmila Pittermann, R. Brandon Pratt, John S. Sperry, Mark Westoby, Ian J. Wright & Amy E. Zanne (2012) Global convergence in the vulnerability of forests to drought. Nature 491:752-755 doi:10.1038/nature11688"	"S = stem, T = trunk, R = root, P = petiole"	10	"W"	NA	"T"	40.7	-111.683333333333	2133.6	5.6964	NA	757	950	"USA_Ut_Millcreek"	"Christman et al. 2009"	-4.5536	-3.1536	-0.8536	3.5464	8.5464	13.5464	18.1464	17.3464	12.4464	6.9464	0.3464	-3.9536	82	79	87	73	59	37	33	38	47	60	80	82	48.2	57.7	64.9	66.7	69.5	76.9	79.2	78.7	77.7	71.3	52.4	45	"WDS"	NA	NA	NA	NA	NA	54.6416666666667	"N"	"A"	NA	NA	NA	NA	NA	"diffuse-porous"	"sol + RM"	"simple"	NA	NA	"fibres"	3	NA	"USA"	"Millcreek Canyon, Utah"	"S"	2.3	NA	NA	1.17	NA	"Millcreek Canyon, Utah"	NA	NA	"S"	"W"	"CA"	NA	NA	NA	NA	NA	NA	1.971	NA	NA	NA	0.40874	NA	NA	234	NA	NA	NA	"non-vestured"	0.21418	0.32312	"no"	NA	NA	NA	NA	NA	NA	65.6833333333333	188.2	72	68	58.7	51.4	48	41.2	37.8	40.4	46.3	54.8	65.1	29.4	25.7	24.1	17.3	10.1	4.2	1.6	2.1	5.8	15.1	23.7	29.1	72	NA
"3"	"Jansen"	"Steven"	241	"Xylem Functional Traits (XFT) Database"	"Acer grandidentatum"	200480	"Acer saccharum subsp. grandidentatum"	1727003	12509895	42	"Plant growth form"	"Plant organ measured"	"Plant organ"	"Mpa"	"Single"	NA	NA	NA	40.7	"m"	NA	NA	0.737951	"Brendan Choat, Steven Jansen, Tim J. Brodribb, Herve Cochard, Sylvain Delzon, Radika Bhaskar, Sandra J. Bucci, Taylor S. Feild, Sean M. Gleason, Uwe G. Hacke, Anna L. Jacobsen, Frederic Lens, Hafiz Maherali, Jordi Martinez-Vilalta, Stefan Mayr, Maurizio Mencuccini, Patrick J. Mitchell, Andrea Nardini, Jarmila Pittermann, R. Brandon Pratt, John S. Sperry, Mark Westoby, Ian J. Wright & Amy E. Zanne (2012) Global convergence in the vulnerability of forests to drought. Nature 491:752-755 doi:10.1038/nature11688"	"S = stem, T = trunk, R = root, P = petiole"	15	"W"	NA	"T"	40.7	-111.683333333333	2133.6	5.6964	NA	757	950	"USA_Ut_Millcreek"	"Christman et al. 2009"	-4.5536	-3.1536	-0.8536	3.5464	8.5464	13.5464	18.1464	17.3464	12.4464	6.9464	0.3464	-3.9536	82	79	87	73	59	37	33	38	47	60	80	82	48.2	57.7	64.9	66.7	69.5	76.9	79.2	78.7	77.7	71.3	52.4	45	"WDS"	NA	NA	NA	NA	NA	54.6416666666667	"N"	"A"	NA	NA	NA	NA	NA	"diffuse-porous"	"sol + RM"	"simple"	NA	NA	"fibres"	2	NA	"USA"	"Millcreek Canyon, Utah"	"S"	2.9	NA	NA	0.98	NA	"Red Butte Canyon, Utah"	NA	NA	"S"	"W"	"CA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.302	NA	NA	379	NA	NA	NA	"non-vestured"	0.20882	0.41275	"no"	NA	NA	NA	NA	NA	NA	65.6833333333333	188.2	72	68	58.7	51.4	48	41.2	37.8	40.4	46.3	54.8	65.1	29.4	25.7	24.1	17.3	10.1	4.2	1.6	2.1	5.8	15.1	23.7	29.1	72	NA
"4"	"Jansen"	"Steven"	241	"Xylem Functional Traits (XFT) Database"	"Acer monspessulanum"	839	"Acer monspessulanum"	1727004	12510022	3117	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded"	"SLA: undefined if petiole in- or excluded"	"SLA (cm2 g-1)"	"cm2 g-1"	"Single"	NA	NA	NA	22.2000222000222	"mm2 mg-1"	NA	NA	2.30836	"Brendan Choat, Steven Jansen, Tim J. Brodribb, Herve Cochard, Sylvain Delzon, Radika Bhaskar, Sandra J. Bucci, Taylor S. Feild, Sean M. Gleason, Uwe G. Hacke, Anna L. Jacobsen, Frederic Lens, Hafiz Maherali, Jordi Martinez-Vilalta, Stefan Mayr, Maurizio Mencuccini, Patrick J. Mitchell, Andrea Nardini, Jarmila Pittermann, R. Brandon Pratt, John S. Sperry, Mark Westoby, Ian J. Wright & Amy E. Zanne (2012) Global convergence in the vulnerability of forests to drought. Nature 491:752-755 doi:10.1038/nature11688"	"specific leaf area =  leaf area to mass ratio"	18	"W"	NA	"T"	41.2166666666667	0.916666666666667	1000	10.9	NA	709	943	"ES_Prades_2"	"Martinez-Vilalta et al. 2002"	3.21666666666667	4.31666666666667	6.61666666666667	8.81666666666667	12.5166666666667	16.5166666666667	19.6166666666667	19.6166666666667	16.7166666666667	11.4166666666667	6.71666666666667	4.71666666666667	43.5164670658683	39.2709580838323	61.559880239521	59.437125748503	79.6032934131737	64.7440119760479	28.6571856287425	49.8847305389222	76.4191616766467	78.5419161676647	63.6826347305389	63.6826347305389	48.4	53.7	54.7	54.6	56.6	61.9	70.7	67.1	60	57	50.4	47.5	"WDS"	NA	NA	NA	NA	NA	66.9583333333333	"N"	"A"	8	NA	NA	NA	201.697626580021	"diffuse-porous"	"sol + RM"	"simple"	NA	23.307594904278	"fibres"	2	33.9234449760766	"Spain"	"Prades"	"S"	3.31	-4.60483682514392	0.00014573393848	0.70384293604595	0.041023756936473	"Prades"	-2.01516317485608	29.3473272169073	"S"	"PW"	"AD"	-4.55	-5.5	0.000293693165304	NA	NA	NA	26.0333333333333	31.599592773812	0.115557110410672	NA	NA	NA	NA	NA	NA	NA	NA	"non-vestured"	NA	NA	"no"	NA	NA	NA	NA	NA	NA	56.8833333333333	77.3	74.4	69.6	65.1	64.5	64	61.5	57	61.4	66.8	71.5	73.7	14.9	12.3	11.1	7.2	3.4	1.2	0.4	0.4	1	3.3	8.6	13.5	74	222.000222000222
"5"	"Jansen"	"Steven"	241	"Xylem Functional Traits (XFT) Database"	"Acer monspessulanum"	839	"Acer monspessulanum"	1727007	12510307	42	"Plant growth form"	"Plant organ measured"	"Plant organ"	"Mpa"	"Single"	NA	NA	NA	45.2	"m"	NA	NA	1.33264	"Brendan Choat, Steven Jansen, Tim J. Brodribb, Herve Cochard, Sylvain Delzon, Radika Bhaskar, Sandra J. Bucci, Taylor S. Feild, Sean M. Gleason, Uwe G. Hacke, Anna L. Jacobsen, Frederic Lens, Hafiz Maherali, Jordi Martinez-Vilalta, Stefan Mayr, Maurizio Mencuccini, Patrick J. Mitchell, Andrea Nardini, Jarmila Pittermann, R. Brandon Pratt, John S. Sperry, Mark Westoby, Ian J. Wright & Amy E. Zanne (2012) Global convergence in the vulnerability of forests to drought. Nature 491:752-755 doi:10.1038/nature11688"	"S = stem, T = trunk, R = root, P = petiole"	NA	"D"	NA	"T"	45.2	5.73333333333333	800	8.702	NA	1026	933	"FR_Bastille"	"Tissier et al. 2004"	0.302	1.502	3.902	7.302	11.302	15.102	18.002	17.202	14.402	9.802	4.502	1.102	77.7	79.1	82.5	76.9	91.8	95.6	70	86.1	88.5	88.6	102.6	86.6	33.1	37	43	45.5	45.9	51.9	60.9	58.5	53.7	42.6	34.2	31.7	"TMS"	NA	NA	NA	NA	NA	72.4166666666667	"N"	"A"	5	NA	NA	NA	NA	"diffuse-porous"	"sol + RM"	"simple"	NA	NA	"fibres"	1	NA	"France"	"La Bastille"	"S"	3.55	-3.9	NA	0.19	NA	"La Bastille"	-2.92	108.571428571429	"S"	NA	"PC-PLCs"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"non-vestured"	NA	NA	"no"	NA	NA	NA	NA	NA	NA	44.8333333333333	103.1	78.3	76.1	71	69	71.2	68.8	64.7	67.7	71.8	76.1	77.1	19.1	15.5	13.2	7.8	4.4	2.6	1.8	1.8	2.6	5.3	11.2	17.8	77.2	NA
"6"	"Jansen"	"Steven"	241	"Xylem Functional Traits (XFT) Database"	"Acer negundo"	841	"Acer negundo"	1727008	12510402	42	"Plant growth form"	"Plant organ measured"	"Plant organ"	"Mpa"	"Single"	NA	NA	NA	33.9552777777778	"m"	NA	NA	0.912402	"Brendan Choat, Steven Jansen, Tim J. Brodribb, Herve Cochard, Sylvain Delzon, Radika Bhaskar, Sandra J. Bucci, Taylor S. Feild, Sean M. Gleason, Uwe G. Hacke, Anna L. Jacobsen, Frederic Lens, Hafiz Maherali, Jordi Martinez-Vilalta, Stefan Mayr, Maurizio Mencuccini, Patrick J. Mitchell, Andrea Nardini, Jarmila Pittermann, R. Brandon Pratt, John S. Sperry, Mark Westoby, Ian J. Wright & Amy E. Zanne (2012) Global convergence in the vulnerability of forests to drought. Nature 491:752-755 doi:10.1038/nature11688"	"S = stem, T = trunk, R = root, P = petiole"	20	"W"	NA	"T"	33.9552777777778	-83.3830555555555	213	16.4416666666667	NA	1256.7	1336	"USA_Ga_Athens"	"Pratt & Black 2006"	5.5	7.5	12	16.5	20.6	24.5	26.3	25.7	22.7	16.8	11.9	7.3	120	113	139.2	100.7	108.1	98.6	120.9	92.7	85	82.1	91.7	104.7	40.4	45.8	52.1	56.8	59.8	61.3	59.3	60.3	58.5	58.2	42.7	35.9	"TMS"	NA	NA	NA	"pit membrane thickness and t values from Jansen et al. 2009"	NA	69.8166666666667	"N"	"A"	NA	NA	NA	NA	NA	"diffuse-porous"	"sol + RM"	"simple"	NA	NA	"fibres"	2	NA	"USA"	"Athens, Georgia"	"S"	1.34	-2.73873676203675	NA	1.95	NA	"Athens, Georgia"	-0.45115369137347	27.1673706099401	"O"	"W"	"CE"	-0.33	-1.12	NA	NA	NA	NA	NA	NA	NA	NA	0.182	NA	NA	179.38	NA	NA	NA	"non-vestured"	0.1212	0.3297	"no"	NA	NA	NA	2.598	NA	0.391	52.5916666666667	60.7	68.3	64.3	64	63	69.7	71	74.8	76.7	75.8	71	69.2	18.4	13.9	6.5	0.9	0	0	0	0	0	0.5	5.8	14.7	70	NA
"7"	"Jansen"	"Steven"	241	"Xylem Functional Traits (XFT) Database"	"Acer negundo"	841	"Acer negundo"	1727011	12510702	42	"Plant growth form"	"Plant organ measured"	"Plant organ"	"Mpa"	"Single"	NA	NA	NA	40.7	"m"	NA	NA	0.869101	"Brendan Choat, Steven Jansen, Tim J. Brodribb, Herve Cochard, Sylvain Delzon, Radika Bhaskar, Sandra J. Bucci, Taylor S. Feild, Sean M. Gleason, Uwe G. Hacke, Anna L. Jacobsen, Frederic Lens, Hafiz Maherali, Jordi Martinez-Vilalta, Stefan Mayr, Maurizio Mencuccini, Patrick J. Mitchell, Andrea Nardini, Jarmila Pittermann, R. Brandon Pratt, John S. Sperry, Mark Westoby, Ian J. Wright & Amy E. Zanne (2012) Global convergence in the vulnerability of forests to drought. Nature 491:752-755 doi:10.1038/nature11688"	"S = stem, T = trunk, R = root, P = petiole"	15	"W"	NA	"T"	40.7	-111.683333333333	2133.6	5.6964	NA	757	950	"USA_Ut_Millcreek"	"Christman et al. 2009"	-4.5536	-3.1536	-0.8536	3.5464	8.5464	13.5464	18.1464	17.3464	12.4464	6.9464	0.3464	-3.9536	82	79	87	73	59	37	33	38	47	60	80	82	48.2	57.7	64.9	66.7	69.5	76.9	79.2	78.7	77.7	71.3	52.4	45	"TMS"	NA	NA	NA	"pit membrane thickness and t values from Jansen et al. 2009"	NA	54.6416666666667	"N"	"A"	NA	NA	NA	NA	NA	"diffuse-porous"	"sol + RM"	"simple"	NA	NA	"fibres"	2	NA	"USA"	"Millcreek Canyon, Utah"	"S"	1.7	NA	NA	1.32	NA	"Red Butte Canyon, Utah"	NA	NA	"S"	"W"	"CA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.182	NA	NA	179.38	NA	NA	NA	"non-vestured"	0.1212	0.3297	"no"	NA	NA	NA	2.598	NA	NA	65.6833333333333	188.2	72	68	58.7	51.4	48	41.2	37.8	40.4	46.3	54.8	65.1	29.4	25.7	24.1	17.3	10.1	4.2	1.6	2.1	5.8	15.1	23.7	29.1	72	NA
"8"	"Jansen"	"Steven"	241	"Xylem Functional Traits (XFT) Database"	"Acer negundo"	841	"Acer negundo"	1727012	12510801	42	"Plant growth form"	"Plant organ measured"	"Plant organ"	"Mpa"	"Single"	NA	NA	NA	45.3333333333333	"m"	NA	NA	2.3748	"Brendan Choat, Steven Jansen, Tim J. Brodribb, Herve Cochard, Sylvain Delzon, Radika Bhaskar, Sandra J. Bucci, Taylor S. Feild, Sean M. Gleason, Uwe G. Hacke, Anna L. Jacobsen, Frederic Lens, Hafiz Maherali, Jordi Martinez-Vilalta, Stefan Mayr, Maurizio Mencuccini, Patrick J. Mitchell, Andrea Nardini, Jarmila Pittermann, R. Brandon Pratt, John S. Sperry, Mark Westoby, Ian J. Wright & Amy E. Zanne (2012) Global convergence in the vulnerability of forests to drought. Nature 491:752-755 doi:10.1038/nature11688"	"S = stem, T = trunk, R = root, P = petiole"	NA	"D"	NA	"T"	45.3333333333333	5.5	200	11.745	NA	937	928	"FR_Grenoble"	"Tissier et al. 2004"	2.32	3.92	8.32	11.42	15.22	18.52	20.92	20.32	17.42	12.22	7.22	3.12	68	72	81	73	90	83	60	77	86	86	84	77	30.9	36.2	43.8	47.4	48.3	54.8	63.7	61.1	56.2	43.3	33	29.4	"TMS"	NA	NA	NA	NA	NA	72.3583333333333	"N"	"A"	10	NA	NA	NA	NA	"diffuse-porous"	"sol + RM"	"simple"	NA	NA	"fibres"	1	NA	"France"	"Grenoble"	"S"	1.5	-2	NA	0.41	NA	"Grenoble"	-0.98	76	"S"	NA	"PC-PLCs"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.182	NA	NA	179.38	NA	NA	NA	"non-vestured"	0.1212	0.3297	"no"	NA	NA	NA	NA	NA	NA	45.675	76	80.7	77.2	71	67.4	69.8	67.5	63.3	66.6	71	75.9	78.4	16.4	12.8	10	4.6	2.1	1.1	0.7	0.7	1.2	2.9	8.3	15.2	79.5	NA
"9"	"Jansen"	"Steven"	241	"Xylem Functional Traits (XFT) Database"	"Acer negundo"	841	"Acer negundo"	1727013	12510900	42	"Plant growth form"	"Plant organ measured"	"Plant organ"	"Mpa"	"Single"	NA	NA	NA	40.7666666666667	"m"	NA	NA	0.613636	"Brendan Choat, Steven Jansen, Tim J. Brodribb, Herve Cochard, Sylvain Delzon, Radika Bhaskar, Sandra J. Bucci, Taylor S. Feild, Sean M. Gleason, Uwe G. Hacke, Anna L. Jacobsen, Frederic Lens, Hafiz Maherali, Jordi Martinez-Vilalta, Stefan Mayr, Maurizio Mencuccini, Patrick J. Mitchell, Andrea Nardini, Jarmila Pittermann, R. Brandon Pratt, John S. Sperry, Mark Westoby, Ian J. Wright & Amy E. Zanne (2012) Global convergence in the vulnerability of forests to drought. Nature 491:752-755 doi:10.1038/nature11688"	"S = stem, T = trunk, R = root, P = petiole"	NA	"W"	NA	"T"	40.7666666666667	-111.833333333333	1460	9.572	NA	532	1164	"USA_Ut_3"	"Li et al. 2008"	-2.828	-0.128000000000001	3.872	8.472	13.372	18.472	23.172	21.972	16.672	10.372	3.372	-1.928	44	44	60	65	56	31	22	26	39	47	47	51	48.2	57.7	64.9	66.7	69.5	76.9	79.2	78.7	77.7	71.3	52.4	45	"TMS"	NA	NA	NA	"pit membrane thickness and t values from Jansen et al. 2009"	NA	54.6416666666667	"C"	"A"	NA	NA	NA	NA	NA	"diffuse-porous"	"sol + RM"	"simple"	NA	NA	"fibres"	2	NA	"USA"	"Utah"	"S"	1.0084	NA	NA	1.6413	NA	"Utah"	NA	NA	"O"	"W"	"CE"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.182	NA	NA	179.38	NA	NA	NA	"non-vestured"	0.1212	0.3297	"no"	NA	NA	NA	2.598	NA	NA	65.6833333333333	188.2	72	68	58.7	51.4	48	41.2	37.8	40.4	46.3	54.8	65.1	29.4	25.7	24.1	17.3	10.1	4.2	1.6	2.1	5.8	15.1	23.7	29.1	72	NA
"10"	"Jansen"	"Steven"	241	"Xylem Functional Traits (XFT) Database"	"Acer negundo"	841	"Acer negundo"	1727014	12510998	42	"Plant growth form"	"Plant organ measured"	"Plant organ"	"Mpa"	"Single"	NA	NA	NA	40.7666666666667	"m"	NA	NA	0.468361	"Brendan Choat, Steven Jansen, Tim J. Brodribb, Herve Cochard, Sylvain Delzon, Radika Bhaskar, Sandra J. Bucci, Taylor S. Feild, Sean M. Gleason, Uwe G. Hacke, Anna L. Jacobsen, Frederic Lens, Hafiz Maherali, Jordi Martinez-Vilalta, Stefan Mayr, Maurizio Mencuccini, Patrick J. Mitchell, Andrea Nardini, Jarmila Pittermann, R. Brandon Pratt, John S. Sperry, Mark Westoby, Ian J. Wright & Amy E. Zanne (2012) Global convergence in the vulnerability of forests to drought. Nature 491:752-755 doi:10.1038/nature11688"	"S = stem, T = trunk, R = root, P = petiole"	NA	"W"	NA	"T"	40.7666666666667	-111.833333333333	1460	9.572	NA	532	1164	"USA_Ut_3"	"Li et al. 2008"	-2.828	-0.128000000000001	3.872	8.472	13.372	18.472	23.172	21.972	16.672	10.372	3.372	-1.928	44	44	60	65	56	31	22	26	39	47	47	51	48.2	57.7	64.9	66.7	69.5	76.9	79.2	78.7	77.7	71.3	52.4	45	"TMS"	NA	NA	NA	"pit membrane thickness and t values from Jansen et al. 2009"	NA	54.6416666666667	"C"	"A"	NA	NA	NA	NA	NA	"diffuse-porous"	"sol + RM"	"simple"	NA	NA	"fibres"	2	NA	"USA"	"Utah"	"S"	0.582633	NA	NA	1.96845	NA	"Utah"	NA	NA	"O"	"W"	"CA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.182	NA	NA	179.38	NA	NA	NA	"non-vestured"	0.1212	0.3297	"no"	NA	NA	NA	2.598	NA	NA	65.6833333333333	188.2	72	68	58.7	51.4	48	41.2	37.8	40.4	46.3	54.8	65.1	29.4	25.7	24.1	17.3	10.1	4.2	1.6	2.1	5.8	15.1	23.7	29.1	72	NA
